,x,y,num
290,942,894,3119.0
291,941,897,3124.0
292,942,904,3129.0
293,936,906,3134.0
294,931,908,3139.0
295,926,908,3144.0
296,923,906,3149.0
297,923,909,3154.0
298,923,911,3159.0
299,920,913,3164.0
300,919,915,3169.0
301,915,916,3174.0
302,915,919,3179.0
303,913,918,3184.0
304,904,921,3189.0
305,899,923,3194.0
306,881,921,3199.0
307,854,927,3204.0
308,818,935,3209.0
309,797,946,3214.0
310,761,946,3219.0
311,718,950,3224.0
312,696,946,3229.0
313,696,954,3234.0
314,650,953,3239.0
315,620,952,3244.0
316,603,956,3249.0
317,573,958,3254.0
318,521,955,3259.0
319,493,950,3264.0
320,463,954,3269.0
321,409,950,3274.0
322,347,946,3279.0
323,312,941,3284.0
324,252,946,3289.0
325,211,945,3294.0
326,176,947,3299.0
327,166,942,3304.0
328,153,942,3309.0
329,143,946,3314.0
330,122,943,3319.0
331,116,943,3324.0
332,104,943,3329.0
333,106,941,3334.0
334,97,940,3339.0
335,94,940,3344.0
336,87,941,3349.0
337,77,941,3354.0
338,74,933,3359.0
339,74,934,3364.0
340,74,935,3369.0
341,73,932,3374.0
342,73,932,3379.0
343,73,932,3384.0
344,73,932,3389.0
345,73,932,3394.0
346,78,921,3399.0
347,78,915,3404.0
348,77,911,3409.0
349,71,914,3414.0
350,72,908,3419.0
351,79,889,3424.0
352,74,879,3429.0
353,64,868,3434.0
354,62,849,3439.0
355,58,831,3444.0
356,60,797,3449.0
357,62,764,3454.0
358,66,760,3459.0
359,63,752,3464.0
360,62,736,3469.0
361,57,745,3474.0
362,57,745,3479.0
363,59,739,3484.0
364,58,757,3489.0
365,60,734,3494.0
366,60,732,3499.0
367,57,737,3504.0
368,56,736,3509.0
369,56,741,3514.0
370,56,744,3519.0
371,55,746,3524.0
372,54,765,3529.0
373,56,765,3534.0
374,61,770,3539.0
375,60,756,3544.0
376,61,755,3549.0
377,62,753,3554.0
378,69,757,3559.0
379,86,762,3564.0
380,96,770,3569.0
381,108,796,3574.0
382,135,800,3579.0
383,182,777,3584.0
384,212,774,3589.0
385,252,771,3594.0
386,283,790,3599.0
387,331,787,3604.0
388,374,791,3609.0
389,401,783,3614.0
390,447,799,3619.0
391,498,820,3624.0
392,537,818,3629.0
393,573,814,3634.0
394,605,822,3639.0
395,643,825,3644.0
396,691,823,3649.0
397,717,829,3654.0
398,736,825,3659.0
399,764,821,3664.0
400,782,817,3669.0
401,808,823,3674.0
402,831,820,3679.0
403,848,823,3684.0
404,856,833,3689.0
405,861,832,3694.0
406,856,841,3699.0
407,864,854,3704.0
408,872,864,3709.0
