,x,y,num
1048,956,643,7023.0
1049,955,612,7028.0
1050,955,612,7033.0
1051,955,610,7038.0
1052,954,605,7043.0
1053,951,605,7048.0
1054,958,582,7053.0
1055,958,577,7058.0
1056,956,552,7063.0
1057,956,552,7068.0
1058,959,533,7073.0
1059,959,513,7078.0
1060,960,509,7083.0
1061,959,509,7088.0
1062,964,530,7093.0
1063,967,532,7098.0
1064,964,530,7103.0
1065,964,530,7108.0
1066,954,517,7113.0
1067,951,519,7118.0
1068,948,505,7123.0
1069,945,506,7128.0
1070,939,499,7133.0
1071,942,473,7138.0
1072,942,462,7143.0
1073,943,455,7148.0
1074,943,455,7153.0
1075,943,455,7158.0
1076,943,455,7163.0
1077,939,453,7168.0
1078,938,444,7173.0
1079,944,423,7178.0
1080,946,436,7183.0
1081,946,436,7188.0
1082,946,436,7193.0
1083,946,426,7198.0
1084,943,426,7203.0
1085,947,423,7208.0
1086,946,432,7213.0
1087,950,433,7218.0
1088,952,435,7223.0
1089,956,432,7228.0
1090,956,432,7233.0
1091,957,443,7238.0
1092,954,442,7243.0
1093,946,465,7248.0
1094,945,473,7253.0
1095,939,472,7258.0
1096,940,457,7263.0
1097,942,439,7268.0
1098,940,447,7273.0
1099,944,458,7278.0
1100,942,477,7283.0
1101,944,506,7288.0
1102,945,521,7293.0
1103,945,521,7298.0
1104,944,533,7303.0
1105,955,558,7308.0
1106,953,576,7313.0
1107,956,581,7318.0
1108,956,594,7323.0
1109,953,594,7328.0
1110,949,594,7333.0
1111,948,606,7338.0
1112,950,624,7343.0
1113,949,653,7348.0
1114,951,692,7353.0
1115,955,746,7358.0
1116,947,756,7363.0
1117,948,779,7368.0
1118,951,799,7373.0
1119,949,812,7378.0
1120,948,826,7383.0
1121,948,827,7388.0
1122,949,836,7393.0
1123,945,855,7398.0
1124,944,855,7403.0
1125,940,856,7408.0
1126,938,869,7413.0
1127,944,881,7418.0
1128,952,899,7423.0
1129,955,899,7428.0
1130,958,898,7433.0
1131,959,898,7438.0
1132,956,901,7443.0
1133,960,899,7448.0
1134,960,896,7453.0
1135,959,903,7458.0
1136,960,901,7463.0
1137,955,906,7468.0
1138,945,908,7473.0
1139,945,909,7478.0
1140,941,909,7483.0
1141,935,911,7488.0
1142,920,911,7493.0
1143,912,918,7498.0
1144,906,935,7503.0
1145,906,939,7508.0
1146,903,944,7513.0
1147,900,945,7518.0
1148,898,945,7523.0
1149,890,945,7528.0
1150,882,942,7533.0
1151,870,948,7538.0
1152,861,948,7543.0
1153,857,947,7548.0
1154,856,950,7553.0
1155,845,953,7558.0
1156,823,952,7563.0
1157,815,947,7568.0
1158,816,947,7573.0
1159,807,944,7578.0
1160,813,941,7583.0
1161,811,943,7588.0
1162,801,943,7593.0
1163,801,941,7598.0
1164,800,940,7603.0
1165,800,945,7608.0
1166,800,946,7613.0
1167,814,940,7618.0
1168,823,936,7623.0
1169,847,936,7628.0
1170,855,932,7633.0
1171,857,931,7638.0
1172,864,929,7643.0
1173,863,924,7648.0
1174,864,923,7653.0
1175,863,918,7658.0
1176,867,916,7663.0
1177,866,915,7668.0
1178,871,914,7673.0
1179,869,912,7678.0
1180,868,913,7683.0
1181,867,913,7688.0
1182,868,912,7693.0
1183,869,912,7698.0
1184,868,912,7703.0
1185,869,908,7708.0
1186,872,907,7713.0
1187,873,905,7718.0
1188,867,896,7723.0
1189,867,894,7728.0
1190,867,893,7733.0
1191,871,888,7738.0
1192,869,884,7743.0
1193,868,883,7748.0
1194,868,884,7753.0
1195,867,881,7758.0
1196,868,881,7763.0
1197,869,876,7768.0
1198,872,872,7773.0
1199,874,873,7778.0
1200,874,865,7783.0
1201,876,855,7788.0
1202,881,848,7793.0
1203,883,845,7798.0
1204,881,844,7803.0
1205,876,850,7808.0
1206,877,848,7813.0
1207,878,849,7818.0
1208,882,844,7823.0
1209,881,843,7828.0
1210,881,842,7833.0
1211,881,844,7838.0
1212,875,845,7843.0
1213,873,843,7848.0
1214,871,837,7853.0
1215,870,835,7858.0
1216,864,819,7863.0
1217,867,821,7868.0
1218,873,827,7873.0
1219,871,828,7878.0
1220,869,823,7883.0
1221,864,826,7888.0
1222,868,836,7893.0
1223,859,850,7898.0
1224,855,866,7903.0
1225,855,867,7908.0
1226,860,871,7913.0
1227,856,876,7918.0
1228,853,878,7923.0
1229,856,883,7928.0
1230,853,894,7933.0
1231,853,899,7938.0
1232,856,903,7943.0
1233,854,909,7948.0
1234,852,909,7953.0
1235,858,914,7958.0
1236,865,916,7963.0
1237,865,919,7968.0
1238,867,919,7973.0
1239,872,917,7978.0
1240,878,918,7983.0
1241,877,917,7988.0
1242,873,916,7993.0
1243,881,913,7998.0
1244,890,910,8003.0
1245,895,910,8008.0
1246,894,909,8013.0
1247,893,910,8018.0
1248,894,912,8023.0
1249,895,914,8028.0
1250,909,915,8033.0
1251,911,914,8038.0
1252,915,910,8043.0
1253,907,919,8048.0
1254,910,917,8053.0
1255,913,926,8058.0
1256,911,927,8063.0
1257,901,937,8068.0
1258,902,937,8073.0
1259,898,937,8078.0
1260,909,937,8083.0
1261,911,933,8088.0
1262,910,938,8093.0
1263,903,940,8098.0
1264,903,941,8103.0
1265,904,947,8108.0
1266,914,946,8113.0
1267,906,947,8118.0
1268,909,944,8123.0
1269,916,937,8128.0
1270,919,934,8133.0
1271,911,930,8138.0
1272,911,930,8143.0
1273,906,936,8148.0
1274,906,937,8153.0
1275,912,932,8158.0
1276,917,931,8163.0
1277,911,931,8168.0
1278,914,926,8173.0
1279,912,925,8178.0
1280,911,922,8183.0
1281,914,924,8188.0
1282,913,925,8193.0
1283,909,926,8198.0
1284,900,925,8203.0
1285,895,925,8208.0
1286,897,933,8213.0
1287,894,932,8218.0
