Column1;rat;exp;ele_count;ele_time;ele_norm;distance;number_run;speed_run;time_bord;time_center;total_frame;miss_pts;miss_cam
0;P1B;pre_lesion;9.450222882615156;32.19415552253591;1.9833169326430784;57.84336617273686;10.698365527488855;86.63831931696517;100.0;0.0;20190.0;0.0;[193, 126, 14, 2]
1;P1B;1_semaine_postL;6.976044903277538;22.849219872373123;1.966140350877193;92.22089007345689;9.922822491730981;127.68307133770094;96.26140122281247;3.7385987771875313;19954.0;0.0;[24, 122, 12, 21]
2;P1B;3_semaine_postL;3.8839440527106697;9.39390436558394;1.3250487329434697;98.20234800408812;10.611490001155936;119.08571259042868;97.21419489076406;2.7858051092359264;17302.0;0.0;[25, 3, 12, 0]
3;P1D;pre_lesion;10.630301728766241;32.6604388131286;1.842554379776602;102.22791789501612;8.890797809513584;153.74115038471666;99.05508429077634;0.9449157092236657;18626.0;0.0;[89, 55, 3, 29]
4;P1D;1_semaine_postL;8.596713021491784;20.799971906166594;1.4743754672999956;64.49978316734808;5.878634639696586;142.4461223587484;99.8314369995786;0.1685630004214075;18984.0;0.0;[40, 0, 26, 25]
5;P1D;3_semaine_postL;8.690776562938042;25.01635361181198;1.7316847966847966;100.4732427569007;8.915054667788057;148.08358084485297;99.36454536959164;0.635454630408373;21402.0;10.0;[38, 471, 32, 9]
6;P1N;pre_lesion;10.355469196479596;25.52291690478912;1.4795778824350252;104.83442290621699;9.66967653446108;139.77301478240614;95.83952451708767;4.160475482912332;17498.0;0.0;[47, 57, 33, 45]
7;P1N;1_semaine_postL;3.4127495170637476;9.11855190670387;1.6106603313840155;80.75771090809249;7.533805537669028;116.65194165507327;99.05559132861129;0.9444086713887099;18636.0;0.0;[114, 27, 12, 4]
8;P1N;3_semaine_postL;6.97986577181208;17.815063385533186;1.532334785766158;97.62957538788609;9.261744966442953;126.65722961503572;98.27740492170022;1.7225950782997763;17880.0;0.0;[6, 445, 91, 5]
9;P1R;pre_lesion;5.355947333184557;13.203897939448039;1.4794396961063627;118.80509391257414;11.649185449676411;141.92852100536845;99.54251283195715;0.4574871680428475;17924.0;0.0;[44, 31, 27, 15]
10;P1R;1_semaine_postL;7.647402218330414;16.767205033404682;1.3180827361633298;107.09868279951782;8.756567425569177;153.59303536364308;97.75248102743724;2.247518972562755;20556.0;0.0;[27, 34, 5, 19]
11;P1R;3_semaine_postL;1.7488789237668159;4.648729446935725;1.425;71.98219515981656;6.860986547085202;115.35029366601302;100.0;0.0;17840.0;0.0;[10, 615, 2, 0]
12;P1V;pre_lesion;8.337965536409117;25.265888456549934;1.796474098683401;67.79407478979275;8.004446914952752;109.24024464756594;99.08838243468595;0.9116175653140633;17990.0;32.0;[32, 17, 22, 188]
13;P1V;1_semaine_postL;2.2462814934736417;10.138621875948598;2.7115384615384617;59.55346084290498;9.470808458969948;96.88659643818568;96.95436608317311;3.0456339168268745;19766.0;0.0;[9, 5, 0, 0]
14;P1V;3_semaine_postL;3.9995402827261235;11.201777573458989;1.6813450292397658;53.09446904314918;7.861165383289277;101.20540340509599;100.0;0.0;17402.0;0.0;[0, 1280, 7, 0]
15;P2B;pre_lesion;13.424190800681432;32.47018739352641;1.4576420512042099;115.17857481761881;9.40374787052811;152.8400534312102;99.48892674616695;0.5110732538330494;17610.0;4.0;[7, 61, 29, 39]
16;P2D;pre_lesion;7.436399217221134;26.857287816191928;2.169729344729345;88.72266388316649;9.784735812133071;123.20555707338983;98.53228962818004;1.4677103718199607;18396.0;0.0;[128, 28, 10, 88]
17;P2D;1_semaine_postL;6.346025384101536;26.805462777406664;2.536363636363636;85.29640631826042;9.018036072144287;134.52449756418744;99.14272990425296;0.8572700957470498;17964.0;7.0;[64, 12, 33, 9]
18;P2D;3_semaine_postL;6.333711691259931;16.84449489216799;1.602579821200511;85.8231507745445;10.011350737797956;118.33000076550815;97.13961407491486;2.8603859250851302;17620.0;0.0;[33, 385, 16, 30]
19;P2N;pre_lesion;3.96039603960396;9.517848336557794;1.3135185185185185;87.51546619268997;10.0375554796859;106.04435168356838;96.44930010242405;3.550699897575965;17574.0;0.0;[0, 3, 3, 9]
20;P2N;1_semaine_postL;5.730596113733671;12.690745416620924;1.3313168724279836;116.75654598048855;10.077944889669558;144.28519612758873;96.24547151169175;3.754528488308267;18218.0;0.0;[23, 2, 0, 30]
21;P2N;3_semaine_postL;4.149085794655415;9.013127051101735;1.3039766081871345;88.59713982432187;6.540084388185654;121.94794996622414;98.44116268166901;1.5588373183309894;17064.0;0.0;[0, 86, 7, 6]
22;P2R;pre_lesion;10.64046086072518;28.114763357054105;1.5126962340491752;107.10034964598727;8.539478143002373;143.56993517632884;98.01197334236981;1.9880266576301815;17706.0;3.0;[77, 58, 64, 23]
23;P2V;pre_lesion;7.769051156866906;23.830750725252955;1.8413756613756616;129.3173504435668;9.74315431967735;159.22259781231523;99.27828486520909;0.7217151347909149;18844.0;0.0;[59, 53, 44, 52]
24;P2V;1_semaine_postL;6.01640838650866;17.437708903068973;1.7439214124518783;144.69622658053567;9.845031905195988;187.92639161850104;98.31358249772106;1.6864175022789425;17552.0;5.0;[84, 19, 58, 14]
25;P2V;3_semaine_postL;2.6730637422892394;6.069606275226564;1.3623931623931622;71.50032302971175;6.7854694996572995;149.7507762630734;100.0;0.0;17508.0;0.0;[11, 1797, 280, 0]
;;;nombre moyenne d'élévatoin;temps passé en élévation pourcentage;durée moyen d'une élévation;distance moyen parcuru;nombre de déplacement moyen;vitesse moyenne des déplacements;temps passé au bord %;temps passsé au center %;;;
