,rat,exp,N,double,only_L,only_R,NO,L_r,R_l,L,R,double_norm,only_L_norm,only_R_norm,NO_norm,L_r_norm,R_l_norm,L_norm,R_norm,only_lese,only_ok,lese_ok,ok_lese,lese,ok,only_lese_norm,only_ok_norm,lese_ok_norm,ok_lese_norm,lese_norm,ok_norm,score_ninaaaaaa,score_ninaaaaaa_only,score
0,P1B,pre_lesion,59,7,7,9,11,12,13,19,22,0.11864406779661017,0.11864406779661017,0.15254237288135594,0.1864406779661017,0.2033898305084746,0.22033898305084745,0.3220338983050847,0.3728813559322034,7,9,12,13,19,22,0.11864406779661017,0.15254237288135594,0.2033898305084746,0.22033898305084745,0.3220338983050847,0.3728813559322034,-7.317073170731707,-12.5,0.46875
1,P1B,1_semaine_postL,58,7,7,15,22,5,2,12,17,0.1206896551724138,0.1206896551724138,0.25862068965517243,0.3793103448275862,0.08620689655172414,0.034482758620689655,0.20689655172413793,0.29310344827586204,7,15,5,2,12,17,0.1206896551724138,0.25862068965517243,0.08620689655172414,0.034482758620689655,0.20689655172413793,0.29310344827586204,-17.24137931034483,-36.36363636363637,0.4305555555555556
2,P1B,3_semaine_postL,36,3,2,11,17,2,1,4,12,0.08333333333333333,0.05555555555555555,0.3055555555555556,0.4722222222222222,0.05555555555555555,0.027777777777777776,0.1111111111111111,0.3333333333333333,2,11,2,1,4,12,0.05555555555555555,0.3055555555555556,0.05555555555555555,0.027777777777777776,0.1111111111111111,0.3333333333333333,-50.0,-69.23076923076923,0.2894736842105263
3,P1D,pre_lesion,58,11,8,8,8,8,15,16,23,0.1896551724137931,0.13793103448275862,0.13793103448275862,0.13793103448275862,0.13793103448275862,0.25862068965517243,0.27586206896551724,0.39655172413793105,8,8,8,15,16,23,0.13793103448275862,0.13793103448275862,0.13793103448275862,0.25862068965517243,0.27586206896551724,0.39655172413793105,-17.94871794871795,0.0,0.43
4,P1D,1_semaine_postL,38,6,2,11,9,5,5,7,16,0.15789473684210525,0.05263157894736842,0.2894736842105263,0.23684210526315788,0.13157894736842105,0.13157894736842105,0.18421052631578946,0.42105263157894735,2,11,5,5,7,16,0.05263157894736842,0.2894736842105263,0.13157894736842105,0.13157894736842105,0.18421052631578946,0.42105263157894735,-39.130434782608695,-69.23076923076923,0.3448275862068966
5,P1D,3_semaine_postL,58,3,10,16,17,7,5,17,21,0.05172413793103448,0.1724137931034483,0.27586206896551724,0.29310344827586204,0.1206896551724138,0.08620689655172414,0.29310344827586204,0.3620689655172414,10,16,7,5,17,21,0.1724137931034483,0.27586206896551724,0.1206896551724138,0.08620689655172414,0.29310344827586204,0.3620689655172414,-10.526315789473683,-23.076923076923077,0.45121951219512196
