,rat,exp,ele_count,ele_time,ele_norm,distance,number_run,speed_run,total_frame,miss_pts,miss_cam,time_bord,time_center
0,P1B,pre_lesion,9.450222882615156,32.19415552253591,1.9833169326430784,57.84336617273686,10.698365527488855,86.63831931696517,20190.0,0.0,"[193, 126, 14, 2]",100.0,0.0
1,P1B,1_semaine_postL,6.976044903277538,22.849219872373123,1.966140350877193,92.22089007345689,9.922822491730981,127.68307133770094,19954.0,0.0,"[24, 122, 12, 21]",96.26140122281247,3.7385987771875313
2,P1B,3_semaine_postL,3.8839440527106697,9.39390436558394,1.3250487329434697,98.20234800408812,10.611490001155936,119.08571259042868,17302.0,0.0,"[25, 3, 12, 0]",97.21419489076406,2.7858051092359264
3,P1D,pre_lesion,10.630301728766241,32.6604388131286,1.842554379776602,102.22791789501612,8.890797809513584,153.74115038471666,18626.0,0.0,"[89, 55, 3, 29]",99.05508429077634,0.9449157092236657
4,P1D,1_semaine_postL,8.596713021491784,20.799971906166594,1.4743754672999956,64.49978316734808,5.878634639696586,142.4461223587484,18984.0,0.0,"[40, 0, 26, 25]",99.8314369995786,0.1685630004214075
5,P1D,3_semaine_postL,8.690776562938042,25.01635361181198,1.7316847966847966,100.4732427569007,8.915054667788057,148.08358084485297,21402.0,10.0,"[38, 471, 32, 9]",99.36454536959164,0.635454630408373
